rank,handle,points,penalty,successfulHackCount,unsuccessfulHackCount,oldDisplayRating,newDisplayRating,points_A,rejectedAttemptCount_A,time_A,points_B,rejectedAttemptCount_B,time_B,points_C,rejectedAttemptCount_C,time_C,points_D,rejectedAttemptCount_D,time_D,points_E,rejectedAttemptCount_E,time_E,OldTrueRating,NewTrueRating
105,Alexander_USU,3624.0,0,0,1,1528,1726,480.0,0,633.0,770.0,1,2711.0,1312.0,0,5194.0,1112.0,0,6718.0,0.0,0,,1528,1726
106,Ascorpior,3590.0,0,0,0,1507,1720,476.0,0,722.0,708.0,2,2934.0,1302.0,1,4873.0,1104.0,0,6754.0,0.0,0,,1507,1720
107,verytable,3588.0,0,0,0,1556,1732,468.0,0,992.0,728.0,0,4121.0,1280.0,0,5425.0,1112.0,0,6706.0,0.0,0,,1556,1732
108,dummyshooter,3580.0,0,0,0,1383,1672,480.0,0,628.0,740.0,2,2402.0,1454.0,1,3728.0,906.0,3,7089.0,0.0,0,,1383,1672
109,imxian,3566.0,0,0,0,1648,1745,476.0,0,766.0,832.0,0,2523.0,1270.0,1,5101.0,988.0,2,6873.0,0.0,0,,1648,1745
110,acmASCIS,3512.0,0,8,1,1500,1776,486.0,0,420.0,766.0,1,2801.0,1510.0,1,3301.0,0.0,0,,0.0,0,,1500,1776
111,LittleBella,3510.0,0,0,0,1661,1746,470.0,0,943.0,684.0,2,3277.0,1400.0,0,4528.0,956.0,2,7106.0,0.0,0,,1661,1746
112,Roma,3494.0,0,5,1,1684,1746,482.0,0,581.0,924.0,0,1181.0,1638.0,1,2359.0,0.0,0,,0.0,0,,1684,1746
113,_ant_ant,3426.0,0,0,0,1461,1703,0.0,1,,852.0,0,2243.0,1448.0,0,4153.0,1126.0,1,6219.0,0.0,0,,1461,1703
114,kereo,3422.0,0,0,0,1570,1733,356.0,2,1335.0,848.0,0,2325.0,1090.0,3,5743.0,1128.0,0,6577.0,0.0,0,,1570,1733
115,oofldw289,3410.0,0,0,0,1389,1673,454.0,0,1402.0,792.0,0,3133.0,1020.0,2,6612.0,1144.0,0,6437.0,0.0,0,,1389,1673
116,lych123,3404.0,0,0,0,1654,1743,432.0,1,595.0,584.0,2,4794.0,1432.0,0,4314.0,956.0,2,7096.0,0.0,0,,1654,1743
117,shopnobaj_raju,3400.0,0,0,0,1467,1704,392.0,1,1756.0,656.0,2,3671.0,1120.0,0,6605.0,1232.0,0,5768.0,0.0,0,,1467,1704
118,wwt65536,3394.0,0,2,0,1554,1728,482.0,0,569.0,848.0,0,2290.0,1864.0,0,1067.0,0.0,2,,0.0,0,,1554,1728
